_filename,_format,sample,spider_id,level0,level1,is_readable_image,is_completed_image
干垃圾_编织袋_36.jpeg,.jpeg,编织袋,36,干垃圾,,True,True
湿垃圾_食材废料_水产_91.jpg,.jpg,水产,91,湿垃圾,食材废料,True,True
湿垃圾_过期食品_肉干_7.jpg,.jpg,肉干,7,湿垃圾,过期食品,True,True
干垃圾_橡皮泥_20.jpg,.jpg,橡皮泥,20,干垃圾,,True,True
有害垃圾_废含汞温度计、废含汞血压计_水银体温计_84.jpg,.jpg,水银体温计,84,有害垃圾,废含汞温度计、废含汞血压计,True,True
干垃圾_编织袋_23.jpg,.jpg,编织袋,23,干垃圾,,True,True
有害垃圾_废镍镉电池和废氧化汞电池_充电电池_97.jpg,.jpg,充电电池,97,有害垃圾,废镍镉电池和废氧化汞电池,True,True
有害垃圾_废油漆和溶剂及其包装物_染发剂壳_78.jpg,.jpg,染发剂壳,78,有害垃圾,废油漆和溶剂及其包装物,True,True
有害垃圾_废胶片及废相纸_x光片_66.jpg,.jpg,x光片,66,有害垃圾,废胶片及废相纸,True,True
可回收物_废塑料_玩具_70.jpg,.jpg,玩具,70,可回收物,废塑料,True,True
湿垃圾_瓜皮果核_水果果肉_73.jpg,.jpg,水果果肉,73,湿垃圾,瓜皮果核,True,True
可回收物_废织物_衣服_26.jpg,.jpg,衣服,26,可回收物,废织物,True,True
有害垃圾_废油漆和溶剂及其包装物_染发剂壳_41.jpg,.jpg,染发剂壳,41,有害垃圾,废油漆和溶剂及其包装物,True,True
湿垃圾_食材废料_肉_48.jpg,.jpg,肉,48,湿垃圾,食材废料,True,True
可回收物_废金属_螺丝刀_2.jpg,.jpg,螺丝刀,2,可回收物,废金属,True,True
可回收物_废玻璃制品_酒瓶_11.jpg,.jpg,酒瓶,11,可回收物,废玻璃制品,True,True
干垃圾_灰土_23.jpg,.jpg,灰土,23,干垃圾,,True,True
湿垃圾_过期食品_红枣_27.jpg,.jpg,红枣,27,湿垃圾,过期食品,True,True
有害垃圾_废荧光灯管_卤素灯_90.jpg,.jpg,卤素灯,90,有害垃圾,废荧光灯管,True,True
有害垃圾_废胶片及废相纸_胶卷_75.jpg,.jpg,胶卷,75,有害垃圾,废胶片及废相纸,True,True
有害垃圾_废含汞温度计、废含汞血压计_水银血压计_4.jpg,.jpg,水银血压计,4,有害垃圾,废含汞温度计、废含汞血压计,True,True
湿垃圾_食材废料_虾_58.jpg,.jpg,虾,58,湿垃圾,食材废料,True,True
干垃圾_榴莲壳_45.jpg,.jpg,榴莲壳,45,干垃圾,,True,True
有害垃圾_废含汞温度计、废含汞血压计_水银血压计_9.jpg,.jpg,水银血压计,9,有害垃圾,废含汞温度计、废含汞血压计,True,True
湿垃圾_花卉绿植_枝叶_58.jpg,.jpg,枝叶,58,湿垃圾,花卉绿植,True,True
干垃圾_竹篮_56.jpg,.jpg,竹篮,56,干垃圾,,True,True
湿垃圾_食材废料_蛋_38.php,.php,蛋,38,湿垃圾,食材废料,True,True
干垃圾_打火机_50.jpg,.jpg,打火机,50,干垃圾,,True,True
湿垃圾_食材废料_调料_92.jpg,.jpg,调料,92,湿垃圾,食材废料,True,True
有害垃圾_废药品及其包装物_针筒_31.jpg,.jpg,针筒,31,有害垃圾,废药品及其包装物,True,True
湿垃圾_食材废料_米_66.jpg,.jpg,米,66,湿垃圾,食材废料,True,True
湿垃圾_食材废料_蛋_32.jpg,.jpg,蛋,32,湿垃圾,食材废料,True,True
湿垃圾_瓜皮果核_水果茎枝_19.jpg,.jpg,水果茎枝,19,湿垃圾,瓜皮果核,True,True
人像_selfie_922.jpg,.jpg,selfie,922,人像,,True,True
